starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:22:10 2021	1630228930	0	196	196	47
Sun Aug 29 18:22:10 2021	1630228930	6	310	316	251
Sun Aug 29 18:22:10 2021	1630228930	4	639	644	496
Sun Aug 29 18:22:10 2021	1630228930	6	923	930	861
Sun Aug 29 18:22:10 2021	1630228930	6	1020	1026	574
Sun Aug 29 18:22:10 2021	1630228930	4	1082	1086	377
Sun Aug 29 18:22:10 2021	1630228930	4	1517	1521	1452
Sun Aug 29 18:22:10 2021	1630228930	5	1757	1762	1160
Sun Aug 29 18:23:36 2021	1630229016	0	1763	1763	1714
Sun Aug 29 18:22:10 2021	1630228930	4	1786	1790	1668
Sun Aug 29 18:23:36 2021	1630229016	0	1990	1990	1808
Sun Aug 29 18:22:40 2021	1630228960	0	2184	2185	2099
Sun Aug 29 18:22:40 2021	1630228960	0	2222	2222	2178
Sun Aug 29 18:23:33 2021	1630229013	0	2260	2260	2139
Sun Aug 29 18:22:40 2021	1630228960	0	2361	2361	1803
Sun Aug 29 18:22:17 2021	1630228937	0	2409	2409	2368
Sun Aug 29 18:22:10 2021	1630228930	2	2437	2439	1420
Sun Aug 29 18:23:40 2021	1630229020	0	2443	2443	2089
Sun Aug 29 18:22:10 2021	1630228930	5	2467	2472	1572
Sun Aug 29 18:23:36 2021	1630229016	0	2486	2486	2444
Sun Aug 29 18:22:10 2021	1630228930	6	2528	2534	1468
Sun Aug 29 18:22:10 2021	1630228930	5	2546	2551	1352
Sun Aug 29 18:22:10 2021	1630228930	2	2563	2565	1527
Sun Aug 29 18:22:40 2021	1630228960	0	2589	2589	2529
Sun Aug 29 18:22:10 2021	1630228930	2	2590	2592	2486
Sun Aug 29 18:22:33 2021	1630228953	0	2601	2601	2527
Sun Aug 29 18:22:45 2021	1630228965	0	2747	2747	2146
Sun Aug 29 18:23:36 2021	1630229016	0	2759	2759	2070
Sun Aug 29 18:22:10 2021	1630228930	6	2754	2760	2648
Sun Aug 29 18:22:10 2021	1630228930	2	2760	2761	2665
Sun Aug 29 18:22:16 2021	1630228936	0	2784	2784	2691
Sun Aug 29 18:23:55 2021	1630229035	0	2816	2816	2212
Sun Aug 29 18:22:10 2021	1630228930	2	2827	2829	2030
Sun Aug 29 18:23:35 2021	1630229015	0	2829	2829	2745
Sun Aug 29 18:23:22 2021	1630229002	0	2841	2841	2440
Sun Aug 29 18:22:10 2021	1630228930	4	2856	2860	1094
Sun Aug 29 18:22:10 2021	1630228930	2	2870	2872	649
Sun Aug 29 18:23:40 2021	1630229020	0	2873	2873	2202
Sun Aug 29 18:23:24 2021	1630229004	0	2909	2909	2112
Sun Aug 29 18:22:10 2021	1630228930	2	2919	2921	1646
Sun Aug 29 18:23:28 2021	1630229008	0	2921	2921	2627
Sun Aug 29 18:23:10 2021	1630228990	0	2923	2924	2857
Sun Aug 29 18:23:40 2021	1630229020	0	2929	2929	1893
Sun Aug 29 18:22:12 2021	1630228932	0	2944	2944	2247
Sun Aug 29 18:23:39 2021	1630229019	0	2951	2951	2549
Sun Aug 29 18:23:19 2021	1630228999	0	2962	2962	2810
Sun Aug 29 18:23:48 2021	1630229028	0	2965	2965	1519
Sun Aug 29 18:23:40 2021	1630229020	0	2978	2978	2609
Sun Aug 29 18:22:18 2021	1630228938	0	3009	3009	2963
Sun Aug 29 18:23:40 2021	1630229020	0	3017	3017	2580
Sun Aug 29 18:22:42 2021	1630228962	0	3018	3018	2879
Sun Aug 29 18:22:40 2021	1630228960	0	3029	3029	2926
Sun Aug 29 18:22:39 2021	1630228959	0	3033	3033	2352
Sun Aug 29 18:23:36 2021	1630229016	0	3054	3055	2321
Sun Aug 29 18:22:10 2021	1630228930	6	3049	3055	2985
Sun Aug 29 18:22:33 2021	1630228953	0	3086	3087	2983
Sun Aug 29 18:23:22 2021	1630229002	0	3099	3099	2950
