starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:16:48 2021	1630228608	0	282	282	137
Sun Aug 29 18:16:48 2021	1630228608	8	473	480	248
Sun Aug 29 18:16:48 2021	1630228608	9	1441	1450	642
Sun Aug 29 18:19:09 2021	1630228749	0	1654	1655	1030
Sun Aug 29 18:16:48 2021	1630228608	10	1704	1715	1651
Sun Aug 29 18:18:16 2021	1630228696	0	1874	1875	1759
Sun Aug 29 18:18:27 2021	1630228707	0	1877	1877	1781
Sun Aug 29 18:18:15 2021	1630228695	0	2243	2244	2169
Sun Aug 29 18:16:48 2021	1630228608	10	2239	2250	1424
Sun Aug 29 18:18:22 2021	1630228702	0	2272	2272	2014
Sun Aug 29 18:16:48 2021	1630228608	10	2279	2288	2054
Sun Aug 29 18:16:48 2021	1630228608	10	2284	2294	2077
Sun Aug 29 18:16:48 2021	1630228608	11	2284	2295	2102
Sun Aug 29 18:16:48 2021	1630228608	8	2299	2307	2112
Sun Aug 29 18:16:48 2021	1630228608	11	2336	2346	760
Sun Aug 29 18:18:24 2021	1630228704	0	2479	2479	1990
Sun Aug 29 18:18:13 2021	1630228693	0	2677	2677	2523
Sun Aug 29 18:18:32 2021	1630228712	0	2691	2691	2615
Sun Aug 29 18:18:01 2021	1630228681	0	2839	2839	2148
Sun Aug 29 18:18:11 2021	1630228691	0	2885	2885	2825
Sun Aug 29 18:19:03 2021	1630228743	0	2895	2896	2734
Sun Aug 29 18:18:24 2021	1630228704	0	2920	2921	2266
Sun Aug 29 18:16:51 2021	1630228611	0	2934	2934	2846
Sun Aug 29 18:18:15 2021	1630228695	0	2947	2947	2714
Sun Aug 29 18:18:15 2021	1630228695	0	2955	2955	2470
Sun Aug 29 18:18:13 2021	1630228693	0	2990	2990	2374
Sun Aug 29 18:18:27 2021	1630228707	0	2995	2995	2275
Sun Aug 29 18:18:33 2021	1630228713	0	3006	3007	2856
Sun Aug 29 18:17:21 2021	1630228641	0	3087	3087	2365
Sun Aug 29 18:18:16 2021	1630228696	0	3152	3153	3112
Sun Aug 29 18:18:00 2021	1630228680	0	3164	3164	2837
Sun Aug 29 18:18:05 2021	1630228685	0	3181	3181	3128
Sun Aug 29 18:18:12 2021	1630228692	0	3191	3191	2148
Sun Aug 29 18:18:15 2021	1630228695	0	3211	3211	2526
Sun Aug 29 18:18:15 2021	1630228695	0	3215	3215	3154
Sun Aug 29 18:18:45 2021	1630228725	1	3217	3218	2795
Sun Aug 29 18:18:22 2021	1630228702	0	3261	3261	2783
Sun Aug 29 18:18:30 2021	1630228710	0	3307	3307	2821
Sun Aug 29 18:16:53 2021	1630228613	0	3336	3336	3033
Sun Aug 29 18:16:53 2021	1630228613	0	3354	3354	3027
